"Feature","Gain","Cover","Frequence"
"92",0.361634,0.025916,0.0386014
"10",0.219216,0.0653392,0.0744056
"3",0.0722187,0.0197961,0.0240559
"39",0.0509552,0.0153843,0.0179021
"91",0.0463189,0.031063,0.0341259
"9",0.0251013,0.0237124,0.0254545
"1",0.0172891,0.0565868,0.0511888
"7",0.0165701,0.0419743,0.0439161
"22",0.0136373,0.0109636,0.00895105
"85",0.0120499,0.0135778,0.0302098
"21",0.0109244,0.00787234,0.00615385
"88",0.0108477,0.0403718,0.0355245
"25",0.0108365,0.00774642,0.00643357
"33",0.00902055,0.0217153,0.0232168
"28",0.00855261,0.0260875,0.0248951
"87",0.0082701,0.0283135,0.0274126
"12",0.00751615,0.0326131,0.0262937
"23",0.00686836,0.00325615,0.00307692
"90",0.00683599,0.0294549,0.033007
"35",0.00672056,0.0188611,0.0243357
"86",0.00610622,0.0308687,0.031049
"11",0.00577487,0.0284198,0.0293706
"51",0.00510947,0.0152373,0.0106294
"18",0.00484383,0.00716786,0.00531469
"89",0.00468531,0.0484456,0.0408392
"36",0.00434275,0.0344237,0.0346853
"34",0.00373824,0.0398812,0.0386014
"8",0.00324558,0.0220269,0.0257343
"16",0.00313754,0.00927636,0.0167832
"78",0.00307864,0.00850137,0.00615385
"77",0.0028707,0.00969213,0.00783217
"74",0.00262258,0.00873544,0.00615385
"24",0.00241043,0.00485655,0.0041958
"14",0.00240245,0.0184389,0.0204196
"17",0.00217288,0.0106881,0.00755245
"45",0.00172597,0.00852082,0.00615385
"2",0.00169566,0.0123449,0.0117483
"76",0.00147804,0.00758288,0.00587413
"19",0.00143982,0.0133313,0.013986
"59",0.00138794,0.00264879,0.00615385
"73",0.00129757,0.00818042,0.00587413
"52",0.00118864,0.00495115,0.00447552
"42",0.00111256,0.0041445,0.00307692
"38",0.00103953,0.00641206,0.00447552
"58",0.000980922,0.00611449,0.0041958
"81",0.000645264,0.00394888,0.0027972
"66",0.000547528,0.00617961,0.00475524
"67",0.000484346,0.00446118,0.00363636
"79",0.000469403,0.00594479,0.0041958
"61",0.000420112,0.00643915,0.00447552
"70",0.000391392,0.00622102,0.0041958
"84",0.000391005,0.00753943,0.00559441
"69",0.000377282,0.00580074,0.00391608
"83",0.000367013,0.00362452,0.0027972
"57",0.000339689,0.000512651,0.00251748
"5",0.000325589,0.00493976,0.00335664
"53",0.000321186,0.00065786,0.00195804
"55",0.000264386,0.00450643,0.00363636
"60",0.000260241,0.00233391,0.00223776
"64",0.000244814,0.00498739,0.00335664
"75",0.000221919,0.00317873,0.00223776
"50",0.000217285,0.000745119,0.0013986
"62",0.00021175,0.0045787,0.00307692
"72",0.000185142,0.00455177,0.00307692
"68",0.000166813,0.00239191,0.00195804
"31",0.000161463,0.000873178,0.00111888
"48",0.000151215,7.5822e-05,0.000839161
"56",0.000149844,0.000368918,0.00111888
"32",0.000141075,0.00459841,0.00335664
"20",0.00012897,0.00125308,0.00195804
"44",0.00012231,0.00360787,0.00251748
"82",9.60706e-05,0.000340728,0.000559441
"65",9.55843e-05,0.000613608,0.000839161
"41",9.51943e-05,8.4549e-06,0.000559441
"40",8.34483e-05,0.0028837,0.00195804
"47",8.18643e-05,0.000246804,0.000559441
"0",7.74546e-05,0.00209125,0.00167832
"30",7.32072e-05,7.41896e-06,0.000559441
"63",6.55771e-05,0.000807547,0.000839161
"27",6.00284e-05,0.000444405,0.000559441
"15",4.43203e-05,0.00124896,0.000839161
"46",4.42663e-05,6.38303e-07,0.00027972
"71",3.95921e-05,0.000635352,0.000559441
"80",3.70273e-05,7.48175e-06,0.00027972
"54",3.49694e-05,0.000391583,0.00027972
"43",3.20193e-05,0.0020816,0.0013986
"6",2.75106e-05,0.00119176,0.000839161
"4",2.54925e-05,0.000348461,0.00027972
"29",8.27642e-06,0.00083264,0.000559441
